icao,lat_deg,lon_deg,elev_m,name
K1RL,48.977316,-123.079294,3.0,Point Roberts Airpark
K74S,48.498513,-122.662513,73.5,Anacortes Airport
KABE,40.651773,-75.442797,119.8,Lehigh Valley International Airport
KABI,32.411301,-99.681900,545.9,Abilene Regional Airport
KABQ,35.040194,-106.609194,1619.1,Albuquerque International Sunport
KABR,45.449100,-98.421799,396.8,Aberdeen Regional Airport
KABY,31.532946,-84.196215,60.0,Southwest Georgia Regional Airport
KACK,41.253101,-70.060204,14.3,Nantucket Memorial Airport
KACT,31.611300,-97.230499,157.3,Waco Regional Airport
KACV,40.978101,-124.109000,67.4,California Redwood Coast-Humboldt County Airport
KACY,39.456201,-74.577511,22.9,Atlantic City International Airport
KAEX,31.325828,-92.546702,27.1,Alexandria International Airport
KAGS,33.369900,-81.964500,43.9,Augusta Regional At Bush Field
KAIA,42.052543,-102.803965,1198.2,Alliance Municipal Airport
KALB,42.748299,-73.801697,86.9,Albany International Airport
KALO,42.557098,-92.400299,266.1,Waterloo Regional Airport
KALS,37.434898,-105.866997,2297.9,San Luis Valley Regional Airport/Bergman Field
KALW,46.094898,-118.288002,363.9,Walla Walla Regional Airport
KAMA,35.217857,-101.706444,1099.4,Rick Husband Amarillo International Airport
KAOO,40.296398,-78.320000,458.1,Altoona Blair County Airport
KAPN,45.078098,-83.560303,210.3,Alpena County Regional Airport
KART,43.991901,-76.021698,99.1,Watertown International Airport
KASE,39.223202,-106.869003,2383.5,Aspen-Pitkin County Airport (Sardy Field)
KATL,33.636719,-84.428067,313.3,Hartsfield-Jackson Atlanta International
KATW,44.258515,-88.519000,279.8,Appleton International Airport
KATY,44.914001,-97.154701,533.1,Watertown Regional Airport
KAUG,44.320599,-69.797302,107.3,Augusta State Airport
KAUS,30.197535,-97.662015,165.2,Austin Bergstrom International Airport
KAVL,35.435488,-82.541853,659.9,Asheville Regional Airport
KAVP,41.337064,-75.724232,293.2,Wilkes-Barre/Scranton International Airport
KAWO,48.161448,-122.158442,43.3,Arlington Municipal Airport
KAXX,36.422,-105.289905,2554,Angel Fire Airport
KAZO,42.232105,-85.549637,266.4,Kalamazoo/Battle Creek International Airport
KBBG,36.532082,-93.200544,396.8,Branson Airport
KBDL,41.938555,-72.688016,52.7,Bradley International Airport
KBED,42.470001,-71.289001,40.5,Laurence G Hanscom Field
KBFD,41.803101,-78.640099,653.2,Bradford Regional Airport
KBFF,41.874001,-103.596001,1209.1,Western Neb. Rgnl/William B. Heilig Airport
KBFI,47.527042,-122.299950,6.4,King County International Airport - Boeing Field
KBFL,35.433601,-119.056999,155.4,Meadows Field
KBGM,42.208698,-75.979797,498.7,Greater Binghamton/Edwin A Link field
KBGR,44.806364,-68.826668,58.5,Bangor International Airport
KBHB,44.450001,-68.361504,25.3,Hancock County-Bar Harbor Airport
KBHM,33.562877,-86.750712,198.1,Birmingham-Shuttlesworth International Airport
KBID,41.168446,-71.578631,32.9,Block Island State Airport
KBIH,37.373100,-118.363998,1257.0,Eastern Sierra Regional Airport
KBIL,45.808932,-108.541242,1113.1,Billings Logan International Airport
KBIS,46.772734,-100.746874,506.3,Bismarck Municipal Airport
KBJC,39.908798,-105.116997,1729.1,Rocky Mountain Metropolitan Airport
KBKW,37.787300,-81.124199,763.2,Raleigh County Memorial Airport
KBLI,48.792801,-122.538002,51.8,Bellingham International Airport
KBLV,38.545200,-89.835197,139.9,Scott AFB/Midamerica Airport
KBMI,40.477100,-88.915901,265.5,Central Illinois Regional Airport at Bloomington-Normal
KBNA,36.124500,-86.678200,182.6,Nashville International Airport
KBOI,43.564400,-116.223000,875.1,Boise Air Terminal/Gowen Field
KBOS,42.364347,-71.005181,9.1,Boston Logan International Airport
KBPT,29.950800,-94.020699,4.6,Jack Brooks Regional Airport
KBQK,31.258801,-81.466499,7.9,Brunswick Golden Isles Airport
KBRD,46.402861,-94.129727,375.5,Brainerd Lakes Regional Airport
KBRL,40.783199,-91.125504,212.8,Southeast Iowa Regional Airport
KBRO,25.907238,-97.425235,6.7,Brownsville South Padre Island International Airport
KBTM,45.954800,-112.497002,1691.6,Bert Mooney Airport
KBTR,30.533199,-91.149597,21.3,Baton Rouge Metropolitan Airport
KBTV,44.471901,-73.153297,102.1,Patrick Leahy Burlington International Airport
KBUF,42.940498,-78.732201,221.9,Buffalo Niagara International Airport
KBUR,34.202834,-118.358050,237.1,Hollywood Burbank/Bob Hope Airport
KBVU,35.947161,-114.858799,670.9,Boulder City Municipal Airport
KBVY,42.584167,-70.916111,33,Beverly Regional Airport
KBWI,39.175400,-76.668297,44.5,Baltimore/Washington International Thurgood Marshall Airport
KBZN,45.778853,-111.153711,1363.4,Bozeman Yellowstone International Airport
KCAE,33.938172,-81.123022,71.9,Columbia Metropolitan Airport
KCAK,40.916100,-81.442200,374.3,Akron Canton Regional Airport
KCCR,37.989700,-122.056999,7.9,Buchanan Field
